brand,number_of_phones_released,brand_origins
Acer,100 devices,Taiwan
alcatel,409 devices,France
Allview,157 devices,Romania
Amazon,25 devices,United States
Amoi,47 devices,China
Apple,118 devices,United States
Archos,43 devices,France
Asus,203 devices,Taiwan
AT&T,4 devices,United States
Benefon,9 devices,Finland
BenQ,35 devices,Taiwan
BenQ-Siemens,28 devices,Germany
Bird,61 devices,China
BlackBerry,92 devices,Canada
Blackview,91 devices,China
BLU,369 devices,United States
Bosch,10 devices,Germany
BQ,20 devices,Spain
Casio,5 devices,Japan
Cat,22 devices,United States
Celkon,229 devices,India
Chea,12 devices,South Korea
Coolpad,46 devices,China
Cubot,59 devices,China
Dell,20 devices,United States
Doogee,68 devices,China
Emporia,15 devices,Austria
Energizer,70 devices,United States
Ericsson,40 devices,Sweden
Eten,22 devices,Taiwan
Fairphone,4 devices,Netherlands
Fujitsu Siemens,2 devices,Japan
Garmin-Asus,5 devices,Taiwan
Gigabyte,63 devices,Taiwan
Gionee,95 devices,China
Google,27 devices,United States
Haier,59 devices,China
Honor,210 devices,China
HP,41 devices,United States
HTC,287 devices,Taiwan
Huawei,446 devices,China
i-mate,34 devices,United Arab Emirates
i-mobile,37 devices,Thailand
Icemobile,61 devices,United States
Infinix,129 devices,Hong Kong
Innostream,18 devices,South Korea
iNQ,5 devices,United Kingdom
Intex,15 devices,India
itel,32 devices,China
Jolla,3 devices,Finland
Karbonn,60 devices,India
Kyocera,24 devices,Japan
Lava,147 devices,India
LeEco,9 devices,China
Lenovo,246 devices,China
LG,667 devices,South Korea
Maxon,31 devices,South Korea
Maxwest,41 devices,United States
Meizu,73 devices,China
Micromax,289 devices,India
Microsoft,32 devices,United States
Mitac,12 devices,Taiwan
Mitsubishi,25 devices,Japan
Modu,8 devices,Israel
Motorola,613 devices,United States
MWg,5 devices,United Kingdom
NEC,73 devices,Japan
Neonode,3 devices,Sweden
NIU,30 devices,China
Nokia,576 devices,Finland
Nothing,3 devices,United Kingdom
Nvidia,3 devices,United States
O2,45 devices,United Kingdom
OnePlus,69 devices,China
Oppo,297 devices,China
Orange,19 devices,United Kingdom
Oukitel,35 devices,China
Palm,17 devices,United States
Panasonic,123 devices,Japan
Pantech,72 devices,South Korea
Parla,10 devices,Turkey
Philips,229 devices,Netherlands
Plum,113 devices,United States
Posh,30 devices,United States
Prestigio,56 devices,Cyprus
QMobile,90 devices,Pakistan
Qtek,21 devices,United Kingdom
Razer,2 devices,United States
Realme,188 devices,China
Sagem,120 devices,France
Samsung,1387 devices,South Korea
Sendo,19 devices,United Kingdom
Sewon,25 devices,South Korea
Sharp,72 devices,Japan
Siemens,94 devices,Germany
Sonim,18 devices,United States
Sony,158 devices,Japan
Sony Ericsson,188 devices,Japan
Spice,120 devices,India
T-Mobile,64 devices,United States
TCL,65 devices,China
Tecno,137 devices,China
Tel.Me.,7 devices,Austria
Telit,30 devices,Italy
Thuraya,1 devices,United Arab Emirates
Toshiba,35 devices,Japan
Ulefone,87 devices,China
Unnecto,30 devices,United States
Vertu,17 devices,United Kingdom
verykool,139 devices,United States
vivo,421 devices,China
VK Mobile,31 devices,South Korea
Vodafone,87 devices,United Kingdom
Wiko,99 devices,France
WND,5 devices,India
XCute,4 devices,Taiwan
Xiaomi,384 devices,China
XOLO,81 devices,India
Yezz,113 devices,United States
Yota,3 devices,Russia
YU,13 devices,India
ZTE,375 devices,China
